0,0
0.001,0.0702139633839173
0.002,0.101048313083593
0.005,0.16524370196238
0.01,0.242362068845576
0.02,0.359956226641494
0.05,0.622239866995125
0.1,0.962315727226938
0.2,1.51862464926391
0.3,2.00027036508494
0.4,2.439416641233
0.5,2.84873655542897
0.6,3.23485699488041
0.7,3.60180508021277
0.8,3.9522752223164
0.9,4.28819701428175
1,4.61102481650223
1.2,5.22174595073524
1.4,5.79131586723662
1.5,6.06226150973769
1.6,6.3246699423016
1.8,6.82561719372267
2,7.29725529780388
2.2,7.74220186851895
2.4,8.16273243593058
2.5,8.36448131823903
2.6,8.56086726187265
2.8,8.93842835189841
3,9.29707823615504
3.2,9.63834713858367
3.4,9.9636524948937
3.5,10.1207345565877
3.6,10.2743132806563
3.8,10.5715607297933
4,10.856546487074
4.2,11.1303489010385
4.4,11.3939779460566
4.5,11.5222753517319
4.6,11.6483791182275
4.8,11.8944365525189
5,12.1329755414949
5.4,12.5905170986108
5.8,13.0264987801619
