0,0
0.001,5.01176250101493
0.002,6.83457432453794
0.005,10.0252352885986
0.01,12.9606233517276
0.02,15.9614725386569
0.05,18.1428594451995
0.1,15.0154461065005
0.2,1.41351805124076
0.3,-15.6479277704414
0.4,-34.1080983033002
0.5,-53.2356448982627
0.6,-72.6846935081946
0.7,-92.2656944839371
0.8,-111.865092874338
0.9,-131.410856023037
1,-150.855588521798
1.2,-189.32485721657
1.4,-227.123455265457
1.5,-245.749349594127
1.6,-264.187921843182
1.8,-300.500402211447
2,-336.069147174445
2.2,-370.918117678377
2.4,-405.081011091686
2.5,-421.917445496827
2.6,-438.597618345095
2.8,-471.511491997764
3,-503.868391104327
3.2,-535.715206328171
3.4,-567.099192329158
3.5,-582.632348800212
3.6,-598.067402170788
3.8,-628.666257285106
4,-658.941209633065
4.2,-688.936466927995
4.4,-718.69476082493
4.5,-733.497946147274
4.6,-748.257143872806
4.8,-777.662804967322
5,-806.948895736583
5.4,-865.299777152552
5.8,-923.559853771497
