"Clarke, E. C. W., & Glew, D. N. (1985). "																		apparent molal relative heat capacity									
													J/mol					J/K/mol									
b (mol/kg)	phi (0¡C)	phi (5¡C)	phi (15¡C)	phi (25¡C)	phi (40¡C)	phi (60¡C)	gamma (0¡C)	gamma (10¡C)	gamma (15¡C)	gamma (25¡C)	gamma (40¡C)	gamma (60¡C)	Lphi (0¡C)	Lphi (10¡C)	Lphi (25¡C)	Lphi (40¡C)	Lphi(60¡C)	Cpphi (0¡C)	Cpphi (10¡C)	Cpphi (25¡C)	Cpphi (40¡C)	Cpphi (60¡C)	Jphi (0¡C)	Jphi (10¡C)	Jphi (25¡C)	Jphi (40¡C)	Jphi (60¡C)
1.8	0.94363	0.95253	0.9662	0.97545	0.98347	0.98664	0.62532	0.64697	0.65468	0.66523	0.67172	0.66801	-2811.9	-1756.9	-615.6	252	1271.3	-61.78	-38.72	-19.545	-11.258	-8.521	-122.02	-91.07	-64.405	-53.176	-50.129
2	0.95301	0.96244	0.9768	0.98657	0.9951	0.99852	0.62778	0.65122	0.65965	0.67131	0.6788	0.67545	-3074.9	-1952.6	-735.3	190	1272.7	-54.16	-32.77	-15.218	-7.798	-5.54	-129.64	-97.02	-68.732	-56.636	-53.11
2.2	0.9632	0.97299	0.98797	0.99818	1.0071	1.01066	0.63167	0.65682	0.66593	0.67865	0.68706	0.68399	-3323.3	-2138.1	-849.3	130.7	1274.1	-47.06	-27.2	-11.123	-4.502	2.689	-136.74	-102.59	-72.827	-59.932	-61.339
2.4	0.9741	0.98419	0.99965	1.01021	1.01942	1.02302	0.63685	0.66363	0.67339	0.68711	0.69637	0.69351	-3557.9	-2313.8	-957.6	74.5	1276	-40.44	-21.96	-7.239	-1.355	0.046	-143.36	-107.83	-76.711	-63.079	-58.696
2.5	0.97979	0.99002	1.00568	1.01638	1.0257	1.02927	0.63988	0.66746	0.677339	0.69173	0.7014	0.6986	-3670.3	-2398.1	-1009.6	47.7	1277.3	-37.3	-19.46	-5.371	0.167	1.374	-146.5	-110.33	-78.579	-64.601	-60.024
2.6	0.98565	0.99598	1.01181	1.02263	1.03203	1.03557	0.6432	0.67155	0.68194	0.6966	0.70666	0.70391	-3779.4	-2480.1	-1060.1	21.8	1278.9	-34.26	-17.04	-3.548	1.658	2.678	-149.54	-112.75	-80.402	-66.092	-61.328
2.8	0.9978	1.0083	1.02441	1.0354	1.04489	1.04828	0.65066	0.68052	0.6915	0.70707	0.71784	0.71513	-3988.4	-2637.2	-1156.4	-27.4	1283.4	-28.46	-12.39	-0.034	4.549	5.217	-155.34	-117.4	-83.916	-68.983	-63.867
3	1.0105	1.02111	1.03739	1.04848	1.05798	1.06111	0.65916	0.69047	0.70203	0.71845	0.72988	0.7271	-4185.6	-2785.5	-1247.7	-72.8	1289.7	-23.03	-8	3.318	7.329	7.673	-160.77	-121.79	-87.268	-71.763	-66.323
3.2	1.02369	1.03437	1.05073	1.06185	1.07126	1.07405	0.66865	0.70137	0.71348	0.73071	0.74272	0.73978	-4371.5	-2925.4	-1333.1	-114.5	1298.1	-17.93	-3.86	6.523	10.009	10.053	-165.87	-125.93	-90.473	-74.443	-68.703
3.4	1.03735	1.04803	1.0644	1.07548	1.08472	1.08708	0.67909	0.71319	0.72582	0.74382	0.75635	0.75315	-4546.6	-3057.1	-1412.9	-152.3	1305.5	-13.13	0.08	9.592	12.596	12.364	-170.67	-129.87	-93.542	-77.03	-71.014
3.5	1.04434	1.05501	1.07135	1.08238	1.0915	1.09361	0.68467	0.71944	0.73232	0.75069	0.76345	0.76007	-4630.4	-3120.1	-1450.8	-169.7	1315	-10.84	1.96	11.08	13.858	13.495	-172.96	-131.75	-95.03	-78.292	-72.145
3.6	1.05143	1.06203	1.07838	1.08934	1.09833	1.10016	0.69047	0.7259	0.73904	0.75777	0.77073	0.76716	-4711.6	-3181.1	-1487.3	-186.2	1321.9	-8.61	3.81	12.537	15.1	14.611	-175.19	-133.6	-96.487	-79.534	-73.261
3.8	1.06591	1.07643	1.09263	1.10343	1.11207	1.11329	0.70276	0.73949	0.75312	0.77253	0.78585	0.78179	-4866.9	-3297.6	-1556.4	-216.1	1337.5	-4.36	7.35	15.369	17.527	16.8	-179.44	-137.14	-99.319	-81.961	-75.45
4	1.08075	1.09121	1.10714	1.11771	1.12593	1.12644	0.71595	0.75395	0.76805	0.78809	0.8017	0.79702	-5013	-3406.8	-1620.3	-242.2	1356.1	-0.34	10.73	18.096	19.885	18.934	-183.46	-140.52	-102.046	-84.319	-77.584
4.2	1.09593	1.10625	1.1219	1.13217	1.1399	1.13961	0.73004	0.76928	0.78383	0.80446	0.81826	0.81284	-5150.3	-3509.2	-1679.2	-264.3	1377.5	3.46	13.95	20.729	22.178	21.018	-187.26	-143.74	-104.679	-86.612	-79.668
4.4	1.11144	1.12157	1.13688	1.14681	1.15396	1.15277	0.74504	0.78549	0.80046	0.82163	0.83553	0.82923	-5279.2	-3604.8	-1732.9	-282.4	1401.7	7.06	17.02	23.276	24.414	23.054	-190.86	-146.81	-107.226	-88.848	-81.704
4.5	1.11931	1.12934	1.14445	1.15418	1.16101	1.15934	0.75287	0.79392	0.8091	0.83052	0.84443	0.83763	-5340.6	-3650.2	-1758	-290	1415	8.79	18.51	24.52	25.511	24.055	-192.59	-148.3	-108.47	-89.945	-82.705
4.6	1.12726	1.13717	1.15208	1.1616	1.16809	1.16591	0.76094	0.80257	0.81796	0.8396	0.85351	0.84617	-5400.1	-3694	-1781.8	-296.6	1429	10.48	19.97	25.745	26.596	25.045	-194.28	-149.76	-109.695	-91.03	-83.695
4.8	1.14337	1.15304	1.16748	1.17653	1.18228	1.17901	0.77776	0.82054	0.83631	0.85839	0.87219	0.86365	-5513.3	-3776.9	-1825.7	-306.8	1459.9	13.73	22.8	28.143	28.729	26.992	-197.53	-152.59	-112.093	-93.163	-85.642
5	1.15977	1.16916	1.18307	1.1916	1.19653	1.19208	0.79552	0.83942	0.85556	0.87799	0.89157	0.88165	-5619.2	-3853.8	-1864.9	-312.9	1493	16.82	25.53	30.476	30.817	28.897	-200.62	-155.32	-114.426	-95.251	-87.547
5.4	1.1934	1.20215	1.21482	1.22212	1.22513	1.218	0.83397	0.87999	0.89676	0.91971	0.93243	0.91919	-5809.9	-3989.9	-1928.8	-306.7	1570	22.6	30.69	34.975	34.871	32.583	-206.4	-160.48	-118.925	-99.305	-91.233
5.8	1.22815	1.23612	1.2473	1.25311	1.25383	1.24359	0.87654	0.9245	0.94177	0.96489	0.97613	0.95868	-5974	-4103.3	-1973.7	-296.3	1660.6	27.92	35.54	39.286	38.778	37.798	-211.72	-165.33	-123.236	-103.212	-96.448
